city,lat,lon
Tokyo,35.687,139.7495
Jakarta,-6.175,106.8275
Delhi,28.61,77.23
Guangzhou,23.13,113.26
Mumbai,19.0761,72.8775
Manila,14.5958,120.9772
Shanghai,31.2286,121.4747
São Paulo,-23.5504,-46.6339
Seoul,37.5667,126.9833
Mexico City,19.4333,-99.1333
Kolkāta,22.5675,88.37
Cairo,30.0444,31.2358
Karachi,24.86,67.01
Dhaka,23.7289,90.3944
New York,40.6943,-73.9249
Beijing,39.9067,116.3975
Bangkok,13.7525,100.4942
Shenzhen,22.5415,114.0596
Moscow,55.7506,37.6175
Buenos Aires,-34.6036,-58.3814
Lagos,6.455,3.3841
Bangalore,12.9789,77.5917
Ho Chi Minh City,10.7756,106.7019
Ōsaka,34.6939,135.5022
Chengdu,30.66,104.0633
Istanbul,41.0136,28.955
Tehran,35.6889,51.3897
Kinshasa,-4.3219,15.3119
Rio de Janeiro,-22.9111,-43.2056
Chennai,13.0825,80.275
Xi’an,34.2611,108.9422
Lahore,31.5497,74.3436
Chongqing,29.5637,106.5504
Los Angeles,34.1141,-118.4068
London,51.5072,-0.1275
Paris,48.8567,2.3522
Linyi,35.1038,118.3564
Dongguan,23.021,113.752
Baoding,38.874,115.464
Hyderābād,17.3617,78.4747
Tianjin,39.1336,117.2054
Lima,-12.06,-77.0375
Wuhan,30.5934,114.3046
Nanyang,32.9902,112.5285
Hangzhou,30.267,120.153
Nagoya,35.1833,136.9
Luanda,-8.8383,13.2344
Foshan,23.0214,113.1216
Kuala Lumpur,3.1686,101.698
Zhoukou,33.6367,114.7014
Tongshan,34.261,117.1859
Hanoi,21,105.85
Chicago,41.8375,-87.6866
Nanjing,32.0608,118.7789
Heze,35.2343,115.4796
Pune,18.5203,73.8567
Jining,35.4151,116.5871
Bogotá,4.7111,-74.0722
Ahmedabad,23.0225,72.5714
Shenyang,41.8025,123.4281
Dar es Salaam,-6.8161,39.2803
Khartoum,15.6031,32.5265
Johannesburg,-26.2044,28.0456
Fuyang,32.89,115.814
Hong Kong,22.3,114.2
Ganzhou,25.831,114.933
Shangqiu,34.415,115.656
Cangzhou,38.3047,116.8387
Riyadh,24.65,46.71
Santiago,-33.4372,-70.6506
Zhumadian,33.014,114.022
Zhanjiang,21.2701,110.3575
Rangoon,16.795,96.16
Yancheng,33.35,120.1569
Bijie,27.284,105.292
Xingtai,37.0717,114.5048
Hengyang,26.894,112.572
Shaoyang,27.2395,111.4679
Surabaya,-7.2458,112.7378
Sūrat,21.205,72.84
Quanzhou,24.8744,118.6757
Shangrao,28.4551,117.9431
Zunyi,27.722,107.031
Madrid,40.4169,-3.7033
Baghdad,33.3153,44.3661
Maoming,21.6627,110.9255
Miami,25.784,-80.2101
Xinyang,32.149,114.091
Houston,29.786,-95.3885
Singapore,1.3,103.8
Prayagraj,25.4358,81.8464
Huanggang,30.4537,114.8724
Dalian,38.9,121.6
Ankara,39.93,32.85
Dallas,32.7935,-96.7667
Qingdao,36.0669,120.3827
Yulin,22.654,110.181
Liaocheng,36.4559,115.9852
Douala,4.05,9.7
Qujing,25.491,103.796
Nangandao,35.3036,113.9268
Addis Ababa,9.03,38.74
Philadelphia,40.0077,-75.1339
Toronto,43.7417,-79.3733
Zhengzhou,34.764,113.684
Nanchong,30.8372,106.1106
Jinan,36.6702,117.0207
Giza,29.987,31.2118
Saint Petersburg,59.9375,30.3086
Jieyang,23.551,116.3727
Dezhou,37.436,116.359
Nairobi,-1.2864,36.8172
Guadalajara,20.6767,-103.3475
Tai’an,36.202,117.087
Dazhou,31.2093,107.4678
Belo Horizonte,-19.9281,-43.9419
Suzhou,33.648,116.964
Monterrey,25.6844,-100.3181
Yongzhou,26.42,111.613
Changde,29.031,111.699
Xiangyang,32.01,112.122
Atlanta,33.7628,-84.422
Pudong,31.2347,121.5064
Washington,38.9047,-77.0163
Zhaotong,27.338,103.717
Zhangzhou,24.513,117.647
Yueyang,29.3647,113.1309
Melbourne,-37.8142,144.9631
Yichun,27.816,114.417
Abidjan,5.3364,-4.0267
Guilin,25.275,110.296
Pingdingshan,33.7666,113.1926
Alexandria,31.1975,29.8925
Bozhou,33.8463,115.7786
Sydney,-33.8667,151.2
Barcelona,41.3833,2.1833
Yuncheng,35.0267,111.007
Cape Town,-33.9253,18.4239
Changsha,28.228,112.939
Suqian,33.963,118.275
Jeddah,21.5428,39.1728
Weinan,34.5206,109.471
