student,number,guess
robotic_blue_dog,1,heavy
robotic_blue_dog,2,bright
robotic_blue_dog,3,wooden
robotic_blue_dog,4,chair
robotic_blue_dog,5,window
robotic_blue_dog,6,fuck
robotic_blue_dog,7,smooth
robotic_blue_dog,8,apple
robotic_blue_dog,9,sharp
robotic_blue_dog,10,carpet
robotic_blue_dog,11,yellow
robotic_blue_dog,12,metal
robotic_blue_dog,13,river
robotic_blue_dog,14,cold
robotic_blue_dog,15,cloud
little_green_turtle,1,fuck
little_green_turtle,2,cold
little_green_turtle,3,window
little_green_turtle,4,metal
little_green_turtle,5,river
little_green_turtle,6,stone
little_green_turtle,7,chair
little_green_turtle,8,window
little_green_turtle,9,bright
little_green_turtle,10,heavy
little_green_turtle,11,apple
little_green_turtle,12,smooth
little_green_turtle,13,yellow
little_green_turtle,14,cloud
little_green_turtle,15,heavy
little_green_turtle,16,bottle
beautiful_black_bear,1,heavy
beautiful_black_bear,2,bright
beautiful_black_bear,3,chair
beautiful_black_bear,4,window
beautiful_black_bear,5,cloud
beautiful_black_bear,6,metal
beautiful_black_bear,7,wooden
beautiful_black_bear,8,fuck
beautiful_black_bear,9,bottle
beautiful_black_bear,10,stone
beautiful_black_bear,11,apple
beautiful_black_bear,12,carpet
beautiful_black_bear,13,smooth
beautiful_black_bear,14,river
beautiful_black_bear,15,sharp
beautiful_black_bear,16,yellow
beautiful_black_bear,17,heavy
small_gray_pika,1,metal
small_gray_pika,2,wooden
small_gray_pika,3,sharp
small_gray_pika,4,bright
small_gray_pika,5,chair
small_gray_pika,6,stone
small_gray_pika,7,apple
small_gray_pika,8,bottle
small_gray_pika,9,cloud
small_gray_pika,10,fuck
small_gray_pika,11,river
small_gray_pika,12,carpet
small_gray_pika,13,heavy
small_gray_pika,14,round
small_gray_pika,15,circle
small_gray_pika,16,yellow
small_gray_pika,17,cold
small_gray_pika,18,window
crazy_blue_monkey,1,chair
crazy_blue_monkey,2,bright
crazy_blue_monkey,3,window
crazy_blue_monkey,4,heavy
crazy_blue_monkey,5,apple
crazy_blue_monkey,6,smooth
crazy_blue_monkey,7,chair
crazy_blue_monkey,8,fuck
crazy_blue_monkey,9,bubble
crazy_blue_monkey,10,river
crazy_blue_monkey,11,carpet
crazy_blue_monkey,12,bread
crazy_blue_monkey,13,river
fuzzy_blue_rhino,1,smooth
fuzzy_blue_rhino,2,yellow
fuzzy_blue_rhino,3,heavy
fuzzy_blue_rhino,4,metal
fuzzy_blue_rhino,5,windows
fuzzy_blue_rhino,6,carpet
fuzzy_blue_rhino,7,fuck
fuzzy_blue_rhino,8,apple
fuzzy_blue_rhino,9,smooth
fuzzy_blue_rhino,10,bottle
fuzzy_blue_rhino,11,river
fuzzy_blue_rhino,12,bright
fuzzy_blue_rhino,13,clear
little_blue_penguin,1,chair
little_blue_penguin,2,cloud
little_blue_penguin,3,heavy
little_blue_penguin,4,fuck
little_blue_penguin,5,apple
little_blue_penguin,6,smooth
little_blue_penguin,7,window
little_blue_penguin,8,bright
little_blue_penguin,9,cold
little_blue_penguin,10,stone
little_blue_penguin,11,carpet
little_blue_penguin,12,sharp
little_blue_penguin,13,river
little_blue_penguin,14,bottle
theo,1,Wooden
theo,2,chair
theo,3,Window
theo,4,bright
theo,5,bottle
theo,6,heavy
theo,7,circle
theo,8,fuck
theo,9,stone
theo,10,yellow
theo,11,sharp
theo,12,river
theo,13,apple
theo,14,pollen
theo,15,cold
kind_pink_butterfly,1,chair
kind_pink_butterfly,2,bright
kind_pink_butterfly,,window
kind_pink_butterfly,4,heavy 
kind_pink_butterfly,5,apple
kind_pink_butterfly,6,smooth
kind_pink_butterfly,7,sharp
kind_pink_butterfly,8,yellow
kind_pink_butterfly,9,cloud
kind_pink_butterfly,10,fuck
