student,question,answer,correct
crazy_blue_monkey,1,diapers,yes
crazy_blue_monkey,2,"soap, toothpaste",yes
crazy_blue_monkey,3,paper shredder,yes
crazy_blue_monkey,4,mule,yes
crazy_blue_monkey,5,shed,yes
crazy_blue_monkey,6,pink,yes
crazy_blue_monkey,7,blue,yes
crazy_blue_monkey,8,olives,yes
crazy_blue_monkey,9,milk mustache,yes
crazy_blue_monkey,10,"coffins, formula",yes
crazy_blue_monkey,11,100,no
crazy_blue_monkey,12,apple sauce,yes
robotic_blue_dog,1,diapers,yes
robotic_blue_dog,2,"toothpaste, soap",yes
robotic_blue_dog,3,paper shredder,yes
robotic_blue_dog,4,mule,yes
robotic_blue_dog,5,shed,yes
robotic_blue_dog,6,"red, black",no
robotic_blue_dog,7,blue,yes
robotic_blue_dog,8,olives,yes
robotic_blue_dog,9,milk mustache,yes
robotic_blue_dog,10,"baby formula, coffins",yes
robotic_blue_dog,11,128,no
robotic_blue_dog,12,apple sauce,yes
old_pink_crocodile,1,diapers,yes
old_pink_crocodile,2,/,no
old_pink_crocodile,3,paper shredder,yes
old_pink_crocodile,4,mule,yes
old_pink_crocodile,5,shed,yes
old_pink_crocodile,6,blue,no
old_pink_crocodile,7,blue,yes
old_pink_crocodile,8,olives,yes
old_pink_crocodile,9,milk,yes
old_pink_crocodile,10,"baby formula, coffin",yes
old_pink_crocodile,11,125,no
old_pink_crocodile,12,apple sauce,yes
beautiful_brown_bear,1,diapers,yes
beautiful_brown_bear,2,toothpaste,no
beautiful_brown_bear,3,paper shredder,yes
beautiful_brown_bear,4,giraffe,no
beautiful_brown_bear,5,shed,yes
beautiful_brown_bear,6,red and black,no
beautiful_brown_bear,7,blue,yes
beautiful_brown_bear,8,olives,yes
beautiful_brown_bear,9,sunscreen,no
beautiful_brown_bear,10,diapers and coffins,no
beautiful_brown_bear,11,100,no
beautiful_brown_bear,12,,no
little_green_turtle,1,diapers,yes
little_green_turtle,2,"soap, toothpaste",yes
little_green_turtle,3,papershredder,yes
little_green_turtle,4,mule,yes
little_green_turtle,5,shed,yes
little_green_turtle,6,blue,no
little_green_turtle,7,pink,no
little_green_turtle,8,olives,yes
little_green_turtle,9,milk mustache,yes
little_green_turtle,10,"baby formula, coffins",yes
little_green_turtle,11,100,no
little_green_turtle,12,applesausce,yes
fuzzy_blue_rhino,1,Diapers,yes
fuzzy_blue_rhino,2,Toothpaste & Soap,yes
fuzzy_blue_rhino,3,Paper Shredder,yes
fuzzy_blue_rhino,4,Mule/Donkey,yes
fuzzy_blue_rhino,5,Shed,yes
fuzzy_blue_rhino,6,Red,yes
fuzzy_blue_rhino,7,Blue,yes
fuzzy_blue_rhino,8,Olives,yes
fuzzy_blue_rhino,9,Milk,yes
