time,type,key,key_code,alt_key,ctrl_key,meta_key,shift_key,is_repeat,range_start,range_end
386,mouse,,,false,false,false,false,false,918,249
819,mouse,,,false,false,false,false,false,609,10
1120,mouse,,,false,false,false,false,false,601,12
11686,mouse,,,false,false,false,false,false,1640,482
12218,click,,,false,false,false,false,false,0,0
20019,down,Meta,MetaLeft,false,false,true,false,false,0,0
31669,down,Shift,ShiftLeft,false,false,false,true,false,0,0
31810,down,I,KeyI,false,false,false,true,false,0,0
31813,input,"I",insertText,false,false,false,false,false,1,1
31878,up,I,KeyI,false,false,false,true,false,1,1
31887,up,Shift,ShiftLeft,false,false,false,false,false,1,1
31970,down,n,KeyN,false,false,false,false,false,1,1
31972,input,"n",insertText,false,false,false,false,false,2,2
32046,up,n,KeyN,false,false,false,false,false,2,2
32074,down," ",Space,false,false,false,false,false,2,2
32076,input," ",insertText,false,false,false,false,false,3,3
32126,down,o,KeyO,false,false,false,false,false,3,3
32129,input,"o",insertText,false,false,false,false,false,4,4
32141,up," ",Space,false,false,false,false,false,4,4
32197,up,o,KeyO,false,false,false,false,false,4,4
32253,down,r,KeyR,false,false,false,false,false,4,4
32256,input,"r",insertText,false,false,false,false,false,5,5
32336,up,r,KeyR,false,false,false,false,false,5,5
32443,down,d,KeyD,false,false,false,false,false,5,5
32445,input,"d",insertText,false,false,false,false,false,6,6
32541,up,d,KeyD,false,false,false,false,false,6,6
32557,down,e,KeyE,false,false,false,false,false,6,6
32559,input,"e",insertText,false,false,false,false,false,7,7
32641,down,r,KeyR,false,false,false,false,false,7,7
32643,input,"r",insertText,false,false,false,false,false,8,8
32652,up,e,KeyE,false,false,false,false,false,8,8
32737,up,r,KeyR,false,false,false,false,false,8,8
32756,down," ",Space,false,false,false,false,false,8,8
32758,input," ",insertText,false,false,false,false,false,9,9
32815,down,t,KeyT,false,false,false,false,false,9,9
32817,input,"t",insertText,false,false,false,false,false,10,10
32882,up," ",Space,false,false,false,false,false,10,10
32901,down,o,KeyO,false,false,false,false,false,10,10
32903,input,"o",insertText,false,false,false,false,false,11,11
32939,up,t,KeyT,false,false,false,false,false,11,11
32973,up,o,KeyO,false,false,false,false,false,11,11
33007,down," ",Space,false,false,false,false,false,11,11
33009,input," ",insertText,false,false,false,false,false,12,12
33078,down,m,KeyM,false,false,false,false,false,12,12
33081,input,"m",insertText,false,false,false,false,false,13,13
33087,up," ",Space,false,false,false,false,false,13,13
33180,down,a,KeyA,false,false,false,false,false,13,13
33183,input,"a",insertText,false,false,false,false,false,14,14
33182,up,m,KeyM,false,false,false,false,false,14,14
33254,up,a,KeyA,false,false,false,false,false,14,14
33271,down,k,KeyK,false,false,false,false,false,14,14
33273,input,"k",insertText,false,false,false,false,false,15,15
33373,up,k,KeyK,false,false,false,false,false,15,15
33388,down,e,KeyE,false,false,false,false,false,15,15
33391,input,"e",insertText,false,false,false,false,false,16,16
33492,up,e,KeyE,false,false,false,false,false,16,16
33498,down," ",Space,false,false,false,false,false,16,16
33505,input," ",insertText,false,false,false,false,false,17,17
33574,up," ",Space,false,false,false,false,false,17,17
33629,down,m,KeyM,false,false,false,false,false,17,17
33632,input,"m",insertText,false,false,false,false,false,18,18
33685,up,m,KeyM,false,false,false,false,false,18,18
33756,down,y,KeyY,false,false,false,false,false,18,18
33758,input,"y",insertText,false,false,false,false,false,19,19
33797,up,y,KeyY,false,false,false,false,false,19,19
34013,down," ",Space,false,false,false,false,false,19,19
34015,input," ",insertText,false,false,false,false,false,20,20
34084,up," ",Space,false,false,false,false,false,20,20
34146,down,f,KeyF,false,false,false,false,false,20,20
34149,input,"f",insertText,false,false,false,false,false,21,21
34236,down,a,KeyA,false,false,false,false,false,21,21
34239,input,"a",insertText,false,false,false,false,false,22,22
34270,up,f,KeyF,false,false,false,false,false,22,22
34314,up,a,KeyA,false,false,false,false,false,22,22
34399,down,v,KeyV,false,false,false,false,false,22,22
34402,input,"v",insertText,false,false,false,false,false,23,23
34474,up,v,KeyV,false,false,false,false,false,23,23
34548,down,o,KeyO,false,false,false,false,false,23,23
34550,input,"o",insertText,false,false,false,false,false,24,24
34609,up,o,KeyO,false,false,false,false,false,24,24
34678,down,r,KeyR,false,false,false,false,false,24,24
34680,input,"r",insertText,false,false,false,false,false,25,25
34752,up,r,KeyR,false,false,false,false,false,25,25
34808,down,i,KeyI,false,false,false,false,false,25,25
