citation,term,chief,case_name,lean,maj_votes,min_votes,issue,issue_description
3 U.S. 378,1798,Ellsworth,"HOLLINGSWORTH, et al. VERSUS VIRGINIA",conservative,6,0,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
3 U.S. 382,1798,Ellsworth,"BINGHAM, PLAINTIFF IN ERROR, VERSUS CABOT, et al.",conservative,6,0,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
3 U.S. 386,1798,Ellsworth,"CALDER ET WIFE, VERSUS BULL ET WIFE",conservative,4,0,10180,ex post facto (state)
3 U.S. 401,1798,Ellsworth,WILSON VERSUS DANIEL,liberal,5,1,90520,"miscellaneous judicial power, especially diversity jurisdiction"
3 U.S. 409,1798,Ellsworth,DEWHURST VERSUS COULTHARD,conservative,6,0,90520,"miscellaneous judicial power, especially diversity jurisdiction"
3 U.S. 411,1799,Ellsworth,"FOWLER et al. v. LINDSEY, et al.",conservative,3,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
3 U.S. 425,1799,Ellsworth,SIMS LESSEE VERSUS IRVINE,liberal,6,0,20250,"military: veteran
Note: cf. conscientious objectors and comity: military"
4 U.S. 1,1799,Ellsworth,THE STATE OF NEW YORK v. THE STATE OF CONNECTICUT et al.,liberal,6,0,40020,"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)
Note: hearing may be statutorily based"
4 U.S. 6,1799,Ellsworth,HAZLEHURST et al. VERSUS THE UNITED STATES,liberal,6,0,90160,"no merits: dismissed or affirmed for want of a substantial or properly presented federal question, or a nonsuit 
Note: use only if the syllabus or the summary holding specifies one of the following bases."
4 U.S. 7,1799,Ellsworth,"TURNER, ADMINISTRATOR, VERSUS ENRILLE",conservative,6,0,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
