citation,name_short,name_full,vote_type
3 U.S. 378,OEllsworth,"Ellsworth, Oliver",majority
3 U.S. 378,WCushing,"Cushing, William",majority
3 U.S. 378,JWilson,"Wilson, James",majority
3 U.S. 378,JIredell,"Iredell, James",majority
3 U.S. 378,WPaterson,"Paterson, William",majority
3 U.S. 378,SChase,"Chase, Samuel",majority
3 U.S. 382,OEllsworth,"Ellsworth, Oliver",majority
3 U.S. 382,WCushing,"Cushing, William",majority
3 U.S. 382,JWilson,"Wilson, James",majority
3 U.S. 382,JIredell,"Iredell, James",majority
3 U.S. 382,WPaterson,"Paterson, William",majority
3 U.S. 382,SChase,"Chase, Samuel",majority
3 U.S. 401,OEllsworth,"Ellsworth, Oliver",majority
3 U.S. 401,WCushing,"Cushing, William",majority
3 U.S. 401,JWilson,"Wilson, James",majority
3 U.S. 401,JIredell,"Iredell, James",dissent
3 U.S. 401,WPaterson,"Paterson, William",majority
3 U.S. 401,SChase,"Chase, Samuel",special concurrence
3 U.S. 386,WCushing,"Cushing, William",majority
3 U.S. 386,JIredell,"Iredell, James",special concurrence
3 U.S. 386,WPaterson,"Paterson, William",majority
3 U.S. 386,SChase,"Chase, Samuel",majority
3 U.S. 409,OEllsworth,"Ellsworth, Oliver",majority
3 U.S. 409,WCushing,"Cushing, William",majority
3 U.S. 409,JIredell,"Iredell, James",majority
3 U.S. 409,WPaterson,"Paterson, William",majority
3 U.S. 409,SChase,"Chase, Samuel",majority
3 U.S. 409,BWashington,"Washington, Bushrod",majority
3 U.S. 411,WCushing,"Cushing, William",majority
3 U.S. 411,WPaterson,"Paterson, William",majority
3 U.S. 411,BWashington,"Washington, Bushrod",majority
3 U.S. 425,OEllsworth,"Ellsworth, Oliver",majority
3 U.S. 425,WCushing,"Cushing, William",majority
3 U.S. 425,JIredell,"Iredell, James",special concurrence
3 U.S. 425,WPaterson,"Paterson, William",majority
3 U.S. 425,SChase,"Chase, Samuel",majority
3 U.S. 425,BWashington,"Washington, Bushrod",majority
4 U.S. 1,OEllsworth,"Ellsworth, Oliver",majority
4 U.S. 1,WCushing,"Cushing, William",majority
4 U.S. 1,JIredell,"Iredell, James",majority
4 U.S. 1,WPaterson,"Paterson, William",majority
4 U.S. 1,SChase,"Chase, Samuel",majority
4 U.S. 1,BWashington,"Washington, Bushrod",majority
4 U.S. 6,OEllsworth,"Ellsworth, Oliver",majority
4 U.S. 6,WCushing,"Cushing, William",majority
4 U.S. 6,JIredell,"Iredell, James",majority
4 U.S. 6,WPaterson,"Paterson, William",majority
4 U.S. 6,SChase,"Chase, Samuel",majority
4 U.S. 6,BWashington,"Washington, Bushrod",majority
4 U.S. 7,OEllsworth,"Ellsworth, Oliver",majority
4 U.S. 7,WCushing,"Cushing, William",majority
4 U.S. 7,JIredell,"Iredell, James",majority
4 U.S. 7,WPaterson,"Paterson, William",majority
4 U.S. 7,SChase,"Chase, Samuel",majority
4 U.S. 7,BWashington,"Washington, Bushrod",majority
4 U.S. 8,OEllsworth,"Ellsworth, Oliver",majority
4 U.S. 8,WCushing,"Cushing, William",majority
4 U.S. 8,JIredell,"Iredell, James",majority
4 U.S. 8,WPaterson,"Paterson, William",majority
4 U.S. 8,SChase,"Chase, Samuel",majority
4 U.S. 8,BWashington,"Washington, Bushrod",majority
4 U.S. 22,OEllsworth,"Ellsworth, Oliver",majority
4 U.S. 22,WCushing,"Cushing, William",majority
4 U.S. 22,WPaterson,"Paterson, William",majority
4 U.S. 22,SChase,"Chase, Samuel",regular concurrence
4 U.S. 22,BWashington,"Washington, Bushrod",majority
4 U.S. 22,OEllsworth,"Ellsworth, Oliver",majority
4 U.S. 22,WCushing,"Cushing, William",majority
4 U.S. 22,WPaterson,"Paterson, William",majority
4 U.S. 22,SChase,"Chase, Samuel",majority
4 U.S. 22,BWashington,"Washington, Bushrod",majority
4 U.S. 22,OEllsworth,"Ellsworth, Oliver",majority
4 U.S. 22,WCushing,"Cushing, William",majority
4 U.S. 22,WPaterson,"Paterson, William",majority
4 U.S. 22,SChase,"Chase, Samuel",majority
4 U.S. 22,BWashington,"Washington, Bushrod",majority
4 U.S. 14,OEllsworth,"Ellsworth, Oliver",majority
4 U.S. 14,WCushing,"Cushing, William",majority
4 U.S. 14,WPaterson,"Paterson, William",majority
4 U.S. 14,SChase,"Chase, Samuel",majority
4 U.S. 14,BWashington,"Washington, Bushrod",majority
4 U.S. 20,OEllsworth,"Ellsworth, Oliver",majority
4 U.S. 20,WCushing,"Cushing, William",majority
4 U.S. 20,WPaterson,"Paterson, William",majority
4 U.S. 20,SChase,"Chase, Samuel",majority
4 U.S. 20,BWashington,"Washington, Bushrod",majority
4 U.S. 21,OEllsworth,"Ellsworth, Oliver",majority
4 U.S. 21,WCushing,"Cushing, William",majority
4 U.S. 21,WPaterson,"Paterson, William",majority
